Dataset,ID,Python,Reference Java,Pre-trained Pred,Fine-tuned Pred,Pre-trained BLEU,Fine-tuned BLEU,Pre-trained Logic,Fine-tuned Logic
Easy,1,"print(""hello world"")","public class Main {
    public static void main(String[] args) {
        System.out.println(""hello world"");
    }
}","print(""hello world"")","import java.util.Scanner;

public class Main {

	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);

		System.out.println(""hello world"");
	}

	public static void main(String[] args) {
		System.out.println(""hello world"");
	}

",0.0349,0.39,0.0,1.0
Easy,2,"x = 10
print(x)","public class Main {
    public static void main(String[] args) {
        int x = 10;
        System.out.println(x);
    }
}",.,"import java.util.Scanner;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int n = sc.nextInt();
		System.out.println(n);
	}
}",0.0,0.4201,0.0,1.0
Easy,3,"a = 5
b = 10
print(a + b)","import java.util.Scanner;
public class Main {
    public static void main(String[] args) {
        int a = 5;
        int b = 10;
        System.out.println(a + b);
    }
}",:,"import java.util.Scanner;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int a = sc.nextInt();
		int b = sc.nextInt();
		System.out.println(a + b);
	}
}",0.0,0.5877,0.0,1.0
Easy,4,"if 5 > 3:
    print(""yes"")","public class Main {
    public static void main(String[] args) {
        if (5 > 3) {
            System.out.println(""yes"");
        }
    }
}","print(""yes"")","import java.util.Scanner;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		while(true){
			int n = sc.nextInt();
			if(n == 5)
				System.out.println(""yes"");
			System.out.println(""yes"");
			}
	}
}",0.0051,0.3541,0.0,1.0
Easy,5,"for i in range(3):
    print(i)","public class Main {
    public static void main(String[] args) {
        for (int i = 0; i < 3; i++) {
            System.out.println(i);
        }
    }
}",print(i),"import java.util.Scanner;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int n = sc.nextInt();
		for (int i = 0; i < 3; i++) {
			if (n == 3) {
				break;
			}
			System.out.println(i);
		}
	}
}",0.0,0.4825,0.0,1.0
Advanced,1,"def greet():
    print(""hello"")","public static void greet() {
    System.out.println(""hello"");
}","print(""hello"")
   ","import java.util.Scanner;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		while (true) {
			int n = sc.nextInt();
			if (n == 0) break;
			System.out.println(""hello"");
			}
	}
}",0.087,0.1867,0.0,1.0
Advanced,2,"def set_value():
    x = 5
    return x","public static int setValue() {
    int x = 5;
    return x;
}",set_value,"import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;
import java.util.StringTokenizer;

public class Main {

	public static void main(String[] args) throws IOException {
		BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
		String s = br.readLine();
		int n = Integer.parseInt(s.readLine());
		for (int i = 0; i < 5; i++) {
			if (s.equals(""5""",0.0,0.0,0.0,0.0
Advanced,3,"def set_pi():
    y = 3.14
    return y","public static double setPi() {
    double y = 3.14;
    return y;
}",set_pi,"import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;
import java.io.PrintWriter;
import java.util.Arrays;
import java.util.InputMismatchException;
import java.util.NoSuchElementException;

public class Main {

	public static void main(String[] args) throws IOException {
		BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
		String line = br.readLine();
		String[] words = br.readLine().split("" "");
",0.0,0.0,0.0,0.0
Advanced,4,"def set_name():
    name = ""Alice""
    return name","public static String setName() {
    String name = ""Alice"";
    return name;
}",set_name,"import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;
import java.util.StringTokenizer;

public class Main {

	public static void main(String[] args) throws IOException {
		BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
		String s = br.readLine();
		String[] a = br.readLine().split("" "");
		for (int i = 0; i < s.length; i++) {
			a[i]",0.0,0.0,0.0,0.0
Advanced,5,"def check_valid():
    is_valid = True
    return is_valid","public static boolean checkValid() {
    boolean isValid = true;
    return isValid;
}",= False,"import java.util.Scanner;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		while (true) {
			int n = sc.nextInt();
			if (n == 0) {
				break;
			}
			if (n == 0) {
				return;
			}
			if (n == 0) {
				return;
			}
			else {
				return false;
",0.0,0.0,0.0,1.0
Advanced,6,"def add_numbers():
    result = 10 + 5
    return result","public static int addNumbers() {
    int result = 10 + 5;
    return result;
}",:,"import java.util.Scanner;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int n = sc.nextInt();
		int[] a = new int[n];
		for (int i = 0; i < n; i++) {
			a[i] = sc.nextInt();
		}
		System.out.println(a[i]);
	}
}",0.0,0.0,0.0,1.0
Advanced,7,"def subtract_numbers():
    difference = 20 - 8
    return difference","public static int subtractNumbers() {
    int difference = 20 - 8;
    return difference;
}",:,"import java.util.Scanner;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int n = sc.nextInt();
		int[] a = new int[n];
		for (int i = 0; i < n; i++) {
			a[i] = sc.nextInt();
		}
		System.out.println(a[i]);
	}
}",0.0,0.0,0.0,1.0
Advanced,8,"def multiply_numbers():
    product = 4 * 7
    return product","public static int multiplyNumbers() {
    int product = 4 * 7;
    return product;
}",product,"import java.util.Scanner;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int n = sc.nextInt();
		int[] a = new int[n];
		for (int i = 0; i < n; i++) {
			a[i] = sc.nextInt();
		}
		System.out.println(a[i]);
	}
	}
",0.0,0.0,0.0,1.0
Advanced,9,"def divide_numbers():
    quotient = 15 / 3
    return quotient","public static int divideNumbers() {
    int quotient = 15 / 3;
    return quotient;
}",( quotient ),"import java.util.Scanner;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int n = sc.nextInt();
		int[] a = new int[n];
		for (int i = 0; i < n; i++) {
			a[i] = sc.nextInt();
		}
		System.out.println(a[i]);
	}
	}
",0.0,0.0,0.0,1.0
Advanced,10,"def get_remainder():
    remainder = 17 % 5
    return remainder","public static int getRemainder() {
    int remainder = 17 % 5;
    return remainder;
}",remainder,"import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;
import java.util.StringTokenizer;

public class Main {

	public static void main(String[] args) throws IOException {
		BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
		int n = Integer.parseInt(br.readLine());
		String[] words = br.readLine().split("" "");
		for (int i = 17 % 5; i >= 0; i--) {
			",0.0,0.0446,0.0,0.0
Advanced,11,"if x > 0:
    print(""positive"")","if (x > 0) {
    System.out.println(""positive"");
}","print(""negative"") print(""negative"")","import java.util.Scanner;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int x = sc.nextInt();
		System.out.println(""positive"");
	}
}",0.0,0.2144,0.0,0.5
Advanced,12,"if x < 0:
    print(""negative"")
else:
    print(""non-negative"")","if (x < 0) {
    System.out.println(""negative"");
} else {
    System.out.println(""non-negative"");
}",x,"import java.util.Scanner;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int x = sc.nextInt();
		if (x < 0) {
			System.out.println(""negative"");
		} else {
				System.out.println(""non-negative"");
		}
	}
}",0.0,0.4321,0.0,1.0
Advanced,13,"for i in range(5):
    print(i)","for (int i = 0; i < 5; i++) {
    System.out.println(i);
}",print(i),"import java.util.Scanner;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int n = sc.nextInt();
		for (int i = 0; i < 5; i++) {
			if (n == 5) {
				break;
			}
			System.out.println(i);
		}
	}
}",0.0,0.288,0.0,1.0
Advanced,14,"i = 0
while i < 3:
    print(i)
    i += 1","int i = 0;
while (i < 3) {
    System.out.println(i);
    i++;
}",print(i),"import java.util.Scanner;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		while(true){
			int n = sc.nextInt();
			if(n == 3){
				break;
			}
			System.out.println(n);
		}
	}
",0.0,0.1145,0.0,1.0
Advanced,15,"numbers = [1, 2, 3, 4, 5]","int[] numbers = {1, 2, 3, 4, 5};",.,"import java.util.Scanner;

public class Main {

	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int n = sc.nextInt();
		int[] a = new int[n];
		for (int i = 0; i < n; i++) {
			a[i] = sc.nextInt();
			}
		System.out.println(a[i]);
		}

	}",0.0,0.0002,1.0,1.0
Advanced,16,"fruits = [""apple"", ""banana"", ""cherry""]","String[] fruits = {""apple"", ""banana"", ""cherry""};","fruits = [""apple"",""banana"",""cherry""]","import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;
import java.util.StringTokenizer;

public class Main {

	public static void main(String[] args) throws IOException {

		BufferedReader br = new BufferedReader(new InputStreamReader(System.in));

		String s = br.readLine();

		for (int i = 0; i < s.length; i++) {
			s[i] = br.readLine();
		}
		",0.5944,0.0002,1.0,1.0
Advanced,17,first = numbers[0],int first = numbers[0];,first = numbers[0],"import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;
import java.util.StringTokenizer;

public class Main {

	public static void main(String[] args) throws IOException {
		BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
		String line = br.readLine();
		String[] words = br.readLine().split("" "");
		for (int i = 0; i < words.length; i++) {
			words[i] =",0.7165,0.0,1.0,1.0
Advanced,18,length = len(numbers),int length = numbers.length;,length = len(numbers),"import java.util.Scanner;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int n = sc.nextInt();
		int[] a = new int[n];
		for (int i = 0; i < n; i++) {
			a[i] = sc.nextInt();
			}
		System.out.println(a[i]);
	}
	}",0.0,0.0,1.0,1.0
Advanced,19,"def greet():
    print(""Hello!"")","public static void greet() {
    System.out.println(""Hello!"");
}","print(""Hello!"")","import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;
import java.util.StringTokenizer;

public class Main {

	public static void main(String[] args) throws IOException {
		BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
		String line = br.readLine();
		while (line.hasNext()) {
			line = Integer.parseInt(line.readLine());
			}
		System.out.println(""Hello!"");
",0.1263,0.1313,0.0,1.0
Advanced,20,"def add(a, b):
    return a + b","public static int add(int a, int b) {
    return a + b;
}",add,"import java.util.Scanner;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int a = sc.nextInt();
		int b = sc.nextInt();
		System.out.println(a + b);
	}
}",0.0,0.0005,0.0,1.0
BigCodeNet,1,"#coding: UTF-8

for i in range(1, 10):
    for j in range(1, 10):
        print ""%dx%d=%d"" % (i, j, i * j)","class Main {

	public static void main(String[] args)
	{
		for(int i = 1; i < 10; ++i)
		{
			for(int j = 1; j < 10; ++j)
			{
				System.out.println(Integer.toString(i)+""x""+Integer.toString(j)+""=""+Integer.toString(i*j));
			}
		}
	}
} ",print,"import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;
import java.io.PrintWriter;
import java.util.Arrays;
import java.util.InputMismatchException;
import java.util.NoSuchElementException;

public class Main {

	public static void main(String[] args) throws IOException {
		BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
		PrintWriter out = new PrintWriter(System.out);
		int n = Integer.parseInt(br.",0.0,0.1711,0.0,0.0
BigCodeNet,2,"#coding: UTF-8

for i in range(1, 10):
    for j in range(1, 10):
        print ""%dx%d=%d"" % (i, j, i * j)","class Main{
public static void main(String a[]){
for(int i=1;i<10;i++){
	for(int j=1;j<10;j++){
	System.out.println(i+""x""+j+""=""+i*j);
}
}
}
}",print,"import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;
import java.io.PrintWriter;
import java.util.Arrays;
import java.util.InputMismatchException;
import java.util.NoSuchElementException;

public class Main {

	public static void main(String[] args) throws IOException {
		BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
		PrintWriter out = new PrintWriter(System.out);
		int n = Integer.parseInt(br.",0.0,0.1171,0.0,0.0
BigCodeNet,3,"#coding: UTF-8

for i in range(1, 10):
    for j in range(1, 10):
        print ""%dx%d=%d"" % (i, j, i * j)","class Main{
	/*
	 * ???????????¨???
	 */
    public static void main(String[] a){
    	for(int i=1; i<10; i++){
    		for(int j=1; j<10; j++){
    			System.out.println(i + ""x"" + j + ""="" + i * j);
    		}
    	}
    }
}",print,"import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;
import java.io.PrintWriter;
import java.util.Arrays;
import java.util.InputMismatchException;
import java.util.NoSuchElementException;

public class Main {

	public static void main(String[] args) throws IOException {
		BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
		PrintWriter out = new PrintWriter(System.out);
		int n = Integer.parseInt(br.",0.0,0.1119,0.0,0.0
BigCodeNet,4,"for i in [1,2,3,4,5,6,7,8,9]:
    for j in [1,2,3,4,5,6,7,8,9]:
       print '%sx%s=%s' % (i,j,i*j)","class Main {

	public static void main(String[] args)
	{
		for(int i = 1; i < 10; ++i)
		{
			for(int j = 1; j < 10; ++j)
			{
				System.out.println(Integer.toString(i)+""x""+Integer.toString(j)+""=""+Integer.toString(i*j));
			}
		}
	}
} ",print,"import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;
import java.io.PrintWriter;
import java.util.Arrays;
import java.util.InputMismatchException;
import java.util.NoSuchElementException;

public class Main {

	public static void main(String[] args) throws IOException {
		BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
		String line = br.readLine();
		String[] words = br.readLine().split("" "");
",0.0,0.1553,0.0,0.0
BigCodeNet,5,"for i in [1,2,3,4,5,6,7,8,9]:
    for j in [1,2,3,4,5,6,7,8,9]:
       print '%sx%s=%s' % (i,j,i*j)","class Main{
public static void main(String a[]){
for(int i=1;i<10;i++){
	for(int j=1;j<10;j++){
	System.out.println(i+""x""+j+""=""+i*j);
}
}
}
}",print,"import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;
import java.io.PrintWriter;
import java.util.Arrays;
import java.util.InputMismatchException;
import java.util.NoSuchElementException;

public class Main {

	public static void main(String[] args) throws IOException {
		BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
		String line = br.readLine();
		String[] words = br.readLine().split("" "");
",0.0,0.1045,0.0,0.0
BigCodeNet,6,"for i in [1,2,3,4,5,6,7,8,9]:
    for j in [1,2,3,4,5,6,7,8,9]:
       print '%sx%s=%s' % (i,j,i*j)","class Main{
	/*
	 * ???????????¨???
	 */
    public static void main(String[] a){
    	for(int i=1; i<10; i++){
    		for(int j=1; j<10; j++){
    			System.out.println(i + ""x"" + j + ""="" + i * j);
    		}
    	}
    }
}",print,"import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;
import java.io.PrintWriter;
import java.util.Arrays;
import java.util.InputMismatchException;
import java.util.NoSuchElementException;

public class Main {

	public static void main(String[] args) throws IOException {
		BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
		String line = br.readLine();
		String[] words = br.readLine().split("" "");
",0.0,0.0999,0.0,0.0
BigCodeNet,7,"print(*[str(a)+'x'+str(b)+'='+str(a*b) for a in range(1,10) for b in range(1,10)], sep='\n')
","class Main {

	public static void main(String[] args)
	{
		for(int i = 1; i < 10; ++i)
		{
			for(int j = 1; j < 10; ++j)
			{
				System.out.println(Integer.toString(i)+""x""+Integer.toString(j)+""=""+Integer.toString(i*j));
			}
		}
	}
} ",print(str(a)),"import java.util.Scanner;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int n = sc.nextInt();
		int a = sc.nextInt();
		int b = sc.nextInt();
		System.out.println(a*b);
	}
}
",0.0,0.256,0.0,0.5
